ID   ArtistName                    AlbumName                     TrackName                     TrackNo
132  Avatar                        Avatar Country                A Statue of the King          7
543  Black Rebel Motorcycle Club   Wrong Creatures               Echo                          5
876  Black Veil Brides             Vale                          Wake Up                       3
135  Borns                         Blue Madonna                  Blue Madonna                  11
86   Camila Cabello                Camila                        Havana                        16
687  Corrosion of Conformity       No Cross No Crown             E.L.M.                        12
546  Francesca Michielin           2640                          Tropicale                     5
2    Joe Satriani                  What Happens Next             Headrush                      7
877  Black Veil Brides             Wretched and Divine           In The End                    1
7    A Day To Remember             What Seperates Me from You    All I Want                    2
666  Iron Maiden                   Somewhere in Time             Wasted Years                  2
39   Trivium                       Silence in the Snow           Until the World Goes Cold     7
264  Soen                          Lotus                         Lotus                         4
169  Tenacious D                   Rize of the Fenix             Rize of the Fenix             1
420  The Axis of Awesome           Animal Vehicle                4 Chords                      16
